source,target,weight,bits
A0A6C0DRP4,A0A6C0D714,0.398,755
A0A6C0DRP4,A0A6C0KP26,0.398,754
A0A6C0DRP4,A0A6C0C4N0,0.391,742
A0A6C0DRP4,A0A6C0AUP9,0.38,709
A0A6C0DRP4,A0A6C0KWD2,0.402,211
A0A6J6EVF5,A0A6J6GDY7,0.498,375
A0A6J6EVF5,A0A2P2CDA4,0.436,308
A0A6J6EVF5,A0A2P2CIE9,0.441,305
A0A6J6EVF5,A0A2P2BWJ7,0.468,301
A0A6C0EFD9,A0A6C0DLZ7,0.844,2191
A0A6C0EFD9,A0A6C0E7Y7,0.763,1971
A0A6C0EFD9,A0A6C0HQM4,0.567,1168
A0A6C0EFD9,A0A6C0AR55,0.552,1156
A0A6C0EFD9,A0A6C0ESH1,0.572,1152
A0A6C0EFD9,A0A6C0D834,0.529,1145
A0A6C0EFD9,A0A6C0B248,0.528,1144
A0A6C0EFD9,A0A6C0E9T3,0.521,1124
A0A6C0EFD9,A0A6C0F7I1,0.547,1124
A0A6C0EFD9,A0A6C0BC56,0.508,1105
A0A6C0EFD9,A0A6C0DLX9,0.513,1103
A0A6C0EFD9,A0A6C0I8D9,0.522,1101
A0A6C0EFD9,A0A6C0LDL2,0.503,1093
A0A6C0EFD9,A0A6C0B3Y6,0.536,1073
A0A6C0EFD9,A0A6C0ASE4,0.506,1054
A0A6C0EFD9,A0A6C0B911,0.527,1051
A0A6C0EFD9,A0A6C0H329,0.528,1050
A0A6C0EFD9,A0A6C0LR39,0.514,1050
A0A6C0EFD9,A0A6C0DRP4,0.505,1050
A0A6C0EFD9,A0A6C0F3T9,0.522,1043
A0A6C0EFD9,A0A6C0KI02,0.507,1036
A0A6C0EFD9,A0A6C0CXA7,0.519,1030
A0A6C0EFD9,A0A6C0CK20,0.503,1030
A0A6C0EFD9,A0A6C0ETN6,0.461,1018
A0A6C0EFD9,A0A6C0LKA9,0.507,1013
A0A6C0EFD9,A0A6C0CQ84,0.509,1005
A0A6C0EFD9,A0A6C0D598,0.488,1004
A0A6C0EFD9,A0A6C0JJL0,0.453,974
A0A6C0EFD9,A0A6C0AXS7,0.497,973
A0A6C0EFD9,A0A6C0BXB1,0.494,967
A0A6C0EFD9,A0A6C0C3J4,0.423,864
A0A6C0EFD9,A0A6C0JAK9,0.422,824
A0A6C0EFD9,A0A6C0C4N0,0.413,797
A0A6C0EFD9,A0A6C0H424,0.398,780
A0A6C0EFD9,A0A6C0D714,0.422,774
A0A6C0EFD9,A0A6C0KP26,0.413,768
A0A6C0EFD9,A0A6C0AUP9,0.397,719
A0A6C0EFD9,A0A6C0KWD2,0.349,184
K1U1E7,A0A5J4RAH0,0.64,256
K1U1E7,A0A5J4PYV6,0.633,252
K1U1E7,A0A5J4RLZ5,0.631,251
K1U1E7,A0A5J4RGF7,0.63,251
K1U1E7,A0A5J4Q1M0,0.629,250
K1U1E7,A0A5J4RSB5,0.629,250
K1U1E7,A0A5J4PMB9,0.626,249
K1U1E7,A0A5J4R632,0.624,248
K1U1E7,A0A5J4S2M0,0.623,247
K1U1E7,A0A5J4ST39,0.623,247
K1U1E7,A0A5J4RMY9,0.62,246
K1U1E7,A0A5J4SQP5,0.616,244
K1U1E7,A0A644YGI6,0.615,244
K1U1E7,A0A5J4RD69,0.605,239
K1U1E7,A0A644Z1I5,0.569,222
K1U1E7,A0A644VAA7,0.557,216
K1U1E7,J9D059,0.516,204
K1U1E7,A0A644TTV5,0.524,202
K1U1E7,A0A644TZ87,0.527,201
K1U1E7,J9GUP8,0.503,200
K1U1E7,J9G945,0.491,194
K1U1E7,J9GKY5,0.484,191
K1U1E7,A0A5J4R5H0,0.624,181
K1U1E7,A0A644WB33,0.473,176
K1U1E7,D9PEU5,0.453,167
K1U1E7,A0A644YC72,0.446,164
K1U1E7,A0A644X3D0,0.432,156
K1U1E7,A0A644V8K5,0.423,153
K1U1E7,A0A5J4Q1Q4,0.413,137
K1U1E7,A0A644V8Y5,0.379,134
K1U1E7,A0A3B0U7R6,0.373,128
K1U1E7,K1V2N0,0.526,123
K1U1E7,X1SXZ0,0.395,123
A0A380TGZ6,A0A484H950,0.696,470
A0A380TGZ6,A0A644VAT7,0.663,440
A0A380TGZ6,A0A381RMW8,0.567,367
A0A380TGZ6,A0A0W8G662,0.53,337
A0A380TGZ6,A0A382GPZ3,0.494,307
A0A380TGZ6,A0A381Q4W5,0.487,306
A0A380TGZ6,A0A645BL16,0.488,300
A0A380TGZ6,A0A644YVS3,0.465,284
A0A380TGZ6,A0A382ARZ7,0.453,278
A0A380TGZ6,A0A381RRI3,0.451,273
A0A380TGZ6,A0A2P2CF46,0.444,269
A0A380TGZ6,A0A6J6F845,0.438,268
A0A380TGZ6,A0A381RJX3,0.437,264
A0A380TGZ6,A0A2P2CJE0,0.429,261
A0A380TGZ6,A0A382BJ82,0.427,252
A0A380TGZ6,A0A382FIY4,0.453,248
A0A380TGZ6,A0A645FCJ9,0.474,235
A0A380TGZ6,A0A6J6C6I2,0.384,230
A0A380TGZ6,A0A6J6DT46,0.391,227
A0A380TGZ6,A0A6J6CMA0,0.38,225
A0A380TGZ6,A0A6J6ENE8,0.382,220
A0A380TGZ6,A0A6J6G9W7,0.383,220
A0A380TGZ6,A0A6J6C905,0.372,191
A0A6P2D7J8,A0A6P2D6N4,0.958,164
A0A381RW63,A0A381RW23,0.549,317
A0A381RW63,A0A381SC57,0.537,312
A0A381RW63,A0A6J5ZEX1,0.479,265
A0A381RW63,A0A381VFE6,0.469,258
A0A381RW63,A0A381Y5A0,0.472,252
A0A381RW63,A0A381NR38,0.468,249
A0A381RW63,A0A382GMT6,0.457,242
A0A381RW63,A0A382D7U8,0.446,241
A0A381RW63,A0A382E8L3,0.431,224
A0A381RW63,A0A382RT59,0.473,219
A0A381RW63,A0A380TET7,0.41,199
A0A381RW63,A0A381TYK3,0.411,194
A0A381RW63,A0A0W8F1J4,0.394,190
A0A381RW63,A0A381TW63,0.379,188
A0A381RW63,A0A098EB84,0.385,186
A0A381RW63,A0A381ZHP8,0.382,175
A0A381RW63,A0A484SGW9,0.35,175
A0A381RW63,A0A644Z1Q8,0.499,172
A0A381YI49,A0A381ZVK2,0.622,180
A0A381YI49,A0A2H9TBZ9,0.587,166
A0A381YI49,A0A381YCQ9,0.528,141
A0A381YI49,A0A381Q0T0,0.506,139
A0A381YI49,A0A381PM74,0.505,137
A0A381YI49,A0A484RFP6,0.495,133
A0A381YI49,A0A381XUL9,0.477,128
A0A381YI49,A0A381UKZ5,0.472,128
A0A381YI49,A0A381NTP3,0.474,126
A0A381YI49,A0A6J6CM05,0.461,126
A0A381YI49,A0A383EVV5,0.607,126
A0A381YI49,A0A644TR86,0.462,124
A0A381YI49,A0A382BSA6,0.461,124
A0A381YI49,A0A6J6F1Z8,0.454,121
A0A381YI49,A0A381Z5C4,0.454,121
A0A381YI49,A0A6J6BED1,0.449,120
A0A381YI49,A0A381TAP7,0.44,119
A0A381YI49,A0A382JQW3,0.446,117
A0A381YI49,A0A381SM42,0.435,116
A0A381YI49,A0A6J5ZDS3,0.442,116
A0A381YI49,A0A644WAX3,0.457,112
A0A381YI49,A0A2P2C335,0.428,111
A0A381YI49,A0A094PRH3,0.417,109
A0A381YI49,A0A644YX24,0.419,108
A0A381YI49,A0A382YNP5,0.404,108
A0A381YI49,A0A6J6BMV8,0.399,107
A0A381YI49,A0A381QJF2,0.416,107
A0A381YI49,A0A094PXK9,0.408,106
A0A381YI49,A0A382AXX9,0.421,105
A0A381YI49,A0A2P2C6S4,0.403,104
A0A381YI49,A0A6J5ZBM4,0.424,104
A0A381YI49,A0A382WL77,0.42,103
A0A381YI49,A0A382BJP1,0.431,103
A0A381YI49,A0A382TN05,0.408,101
A0A381YI49,A0A644XIS9,0.394,101
A0A381YI49,A0A381UMH9,0.388,101
A0A381YI49,A0A6J6D5R5,0.395,100
A0A381YI49,A0A6J6ASR3,0.411,100
A0A381YI49,A0A645B269,0.389,98
A0A381YI49,A0A382BC58,0.385,98
A0A381YI49,A0A381RUV8,0.403,98
A0A381YI49,A0A380TAR9,0.391,96
A0A381YI49,A0A644ZDJ2,0.384,96
A0A381YI49,A0A6J6FLY4,0.371,96
A0A381YI49,A0A6J6AEE3,0.399,96
A0A381YI49,A0A645BU40,0.377,95
A0A381YI49,A0A645G9J6,0.402,94
A0A381YI49,A0A382X5I9,0.386,84
A0A381YI49,A0A381W471,0.352,82
A0A381YI49,A0A382J1X9,0.319,74
A0A644UCN4,A0A2P2CG40,0.446,616
A0A644UCN4,A0A644W3K3,0.301,492
A0A381S6T6,A0A6A7S9U7,0.683,1461
A0A381S6T6,A0A380TBJ6,0.62,1279
A0A381S6T6,A0A381SJ02,0.587,1216
A0A381S6T6,A0A2P2BYA8,0.543,1120
A0A381S6T6,A0A644TEG1,0.505,989
A0A381S6T6,A0A644SXT0,0.504,970
A0A381S6T6,A0A6C0ED38,0.39,715
A0A381S6T6,A0A645A5Y7,0.388,182
A0A382LBB5,A0A484HBH2,0.486,282
A0A382LBB5,A0A382HPV4,0.369,181
A0A382LBB5,A0A381PLY7,0.314,157
A0A382LBB5,A0A381UCT6,0.301,156
A0A382LBB5,A0A381UR02,0.333,155
A0A382LBB5,A0A381XCR9,0.324,148
A0A644UE91,A0A644UXQ3,0.611,862
A0A644UE91,A0A644X6C2,0.601,843
A0A644UE91,A0A0W8FYX4,0.394,465
A0A644UE91,A0A484SME1,0.416,433
A0A644UE91,A0A644WU53,0.397,430
A0A644UE91,A0A381X0A0,0.413,428
A0A644UE91,A0A644T1Y2,0.382,383
A0A644UE91,A0A644U9H2,0.347,370
A0A645J6J5,A0A645HQ66,0.357,87
A0A645J6J5,A0A2P2CCC0,0.351,81
A0A645J6J5,A0A644XUI1,0.312,72
A0A645J6J5,A0A380TDV5,0.309,71
A0A6J5ZEX1,A0A381VFE6,0.541,314
A0A6J5ZEX1,A0A382D7U8,0.543,311
A0A6J5ZEX1,A0A381RW23,0.522,300
A0A6J5ZEX1,A0A381Y5A0,0.531,297
A0A6J5ZEX1,A0A381SC57,0.505,286
A0A6J5ZEX1,A0A381NR38,0.515,285
A0A6J5ZEX1,A0A382GMT6,0.523,285
A0A6J5ZEX1,A0A382RT59,0.553,271
A0A6J5ZEX1,A0A381RW63,0.479,265
A0A6J5ZEX1,A0A382E8L3,0.466,251
A0A6J5ZEX1,A0A380TET7,0.452,232
A0A6J5ZEX1,A0A381TYK3,0.436,223
A0A6J5ZEX1,A0A381TW63,0.453,220
A0A6J5ZEX1,A0A484SGW9,0.406,214
A0A6J5ZEX1,A0A0W8F1J4,0.427,211
A0A6J5ZEX1,A0A098EB84,0.418,208
A0A6J5ZEX1,A0A381ZHP8,0.416,194
A0A6J5ZEX1,A0A644Z1Q8,0.534,190
A0A6J6RPQ7,A0A6J6Q3B6,0.713,583
A0A6J6RPQ7,A0A6J7R1C9,0.508,395
A0A6J6RPQ7,A0A6J6HPH1,0.386,257
A0A6J6RPQ7,A0A6J6NEE4,0.378,220
A0A6J6RPQ7,A0A0F9DRK3,0.34,44
A0A5J4RD69,A0A5J4RSB5,0.894,864
A0A5J4RD69,A0A5J4R632,0.9,824
A0A5J4RD69,A0A5J4SQP5,0.834,796
A0A5J4RD69,A0A5J4RLZ5,0.83,792
A0A5J4RD69,A0A5J4RMY9,0.834,790
A0A5J4RD69,A0A5J4S2M0,0.828,778
A0A5J4RD69,A0A5J4ST39,0.78,731
A0A5J4RD69,A0A5J4RGF7,0.768,716
A0A5J4RD69,A0A5J4RAH0,0.772,713
A0A5J4RD69,A0A5J4R5H0,0.855,602
A0A5J4RD69,A0A644Z1I5,0.657,586
A0A5J4RD69,A0A644VAA7,0.65,583
A0A5J4RD69,A0A644YGI6,0.633,576
A0A5J4RD69,A0A5J4PYV6,0.75,528
A0A5J4RD69,J9D059,0.582,507
A0A5J4RD69,A0A644TZ87,0.574,503
A0A5J4RD69,A0A644TTV5,0.564,497
A0A5J4RD69,J9GUP8,0.459,454
A0A5J4RD69,J9G945,0.459,454
A0A5J4RD69,J9GKY5,0.457,449
A0A5J4RD69,A0A5J4Q1M0,0.759,435
A0A5J4RD69,A0A5J4PMB9,0.751,406
A0A5J4RD69,A0A644WB33,0.463,386
A0A5J4RD69,D9PEU5,0.46,385
A0A5J4RD69,A0A3B0U7R6,0.449,373
A0A5J4RD69,A0A644X3D0,0.447,372
A0A5J4RD69,A0A644YC72,0.433,349
A0A5J4RD69,A0A644V8K5,0.419,321
A0A5J4RD69,A0A5J4PVG7,0.794,314
A0A5J4RD69,A0A644V8Y5,0.362,282
A0A5J4RD69,A0A645G851,0.688,255
A0A5J4RD69,K1U1E7,0.585,229
A0A5J4RD69,K1RQ62,0.44,182
A0A5J4RD69,A0A5J4Q1Q4,0.397,170
A0A5J4RD69,X1SXZ0,0.378,159
A0A5J4RD69,X1H9X9,0.386,140
A0A5J4RD69,A0A0F9RZA5,0.341,121
A0A5J4RD69,K1V2N0,0.504,120
A0A5J4RD69,D9PIE9,0.336,94
X1VZG8,A0A0F9RZA5,0.326,74
A0A2P2CIL8,A0A380T9R8,0.41,120
A0A381NQB5,A0A381QM57,0.365,302
A0A381NQB5,A0A381R409,0.364,301
A0A381NQB5,A0A381T7V2,0.371,300
A0A381NQB5,A0A381NCE6,0.364,299
A0A381NQB5,A0A381SX73,0.369,298
A0A381NQB5,A0A381UCT6,0.301,207
A0A382ARZ7,A0A382FIY4,0.768,474
A0A382ARZ7,A0A382BJ82,0.561,361
A0A382ARZ7,A0A381RJX3,0.55,351
A0A382ARZ7,A0A645BL16,0.542,340
A0A382ARZ7,A0A0W8G662,0.529,332
A0A382ARZ7,A0A381Q4W5,0.514,325
A0A382ARZ7,A0A644YVS3,0.51,318
A0A382ARZ7,A0A382GPZ3,0.485,301
A0A382ARZ7,A0A380TGZ6,0.462,285
A0A382ARZ7,A0A381RMW8,0.472,284
A0A382ARZ7,A0A484H950,0.461,281
A0A382ARZ7,A0A6J6G9W7,0.458,280
A0A382ARZ7,A0A6J6CMA0,0.441,278
A0A382ARZ7,A0A644VAT7,0.451,271
A0A382ARZ7,A0A6J6C6I2,0.429,265
A0A382ARZ7,A0A6J6F845,0.432,263
A0A382ARZ7,A0A381RRI3,0.429,258
A0A382ARZ7,A0A6J6ENE8,0.429,257
A0A382ARZ7,A0A6J6DT46,0.419,249
A0A382ARZ7,A0A2P2CF46,0.413,248
A0A382ARZ7,A0A645FCJ9,0.499,244
A0A382ARZ7,A0A2P2CJE0,0.399,236
A0A382ARZ7,A0A6J6C905,0.426,229
A0A2P2CJH2,A0A2P2C0V8,0.851,1084
A0A2P2CJH2,A0A6J6B4W8,0.715,870
A0A2P2CJH2,A0A6J6CEA8,0.72,865
A0A2P2CJH2,A0A6J6A3L1,0.645,765
A0A2P2CJH2,A0A6J6ASS5,0.628,737
A0A2P2CJH2,A0A6J6E6T3,0.579,664
A0A2P2CJH2,A0A382CHT4,0.636,652
A0A2P2CJH2,A0A382J197,0.631,430
A0A2P2CJH2,A0A382HFT6,0.612,302
A0A2P2CJH2,A0A382GIQ4,0.61,300
A0A381NR38,A0A381Y5A0,0.637,380
A0A381NR38,A0A382GMT6,0.643,378
A0A381NR38,A0A381VFE6,0.566,322
A0A381NR38,A0A382D7U8,0.524,291
A0A381NR38,A0A6J5ZEX1,0.521,289
A0A381NR38,A0A382RT59,0.571,276
A0A381NR38,A0A381SC57,0.463,253
A0A381NR38,A0A381RW63,0.482,252
A0A381NR38,A0A381RW23,0.451,244
A0A381NR38,A0A380TET7,0.432,225
A0A381NR38,A0A382E8L3,0.421,219
A0A381NR38,A0A381TYK3,0.449,217
A0A381NR38,A0A381ZHP8,0.446,217
A0A381NR38,A0A381TW63,0.416,214
A0A381NR38,A0A644Z1Q8,0.581,211
A0A381NR38,A0A0W8F1J4,0.392,188
A0A381NR38,A0A098EB84,0.389,184
A0A381NR38,A0A484SGW9,0.363,183
A0A382X5I9,A0A380TAR9,0.571,186
A0A382X5I9,A0A382J1X9,0.421,131
A0A382X5I9,A0A6J6BED1,0.42,129
A0A382X5I9,A0A094PXK9,0.427,127
A0A382X5I9,A0A6J6CM05,0.406,126
A0A382X5I9,A0A644TR86,0.417,117
A0A382X5I9,A0A644XIS9,0.389,115
A0A382X5I9,A0A6J5ZBM4,0.382,113
A0A382X5I9,A0A2P2C335,0.377,111
A0A382X5I9,A0A6J6F1Z8,0.374,111
A0A382X5I9,A0A6J6AEE3,0.373,110
A0A382X5I9,A0A645B269,0.383,110
A0A382X5I9,A0A6J6ASR3,0.372,109
A0A382X5I9,A0A381XUL9,0.371,109
A0A382X5I9,A0A645BU40,0.377,109
A0A382X5I9,A0A381PM74,0.367,106
A0A382X5I9,A0A381Q0T0,0.366,106
A0A382X5I9,A0A381UKZ5,0.36,104
A0A382X5I9,A0A2P2C6S4,0.37,104
A0A382X5I9,A0A644YX24,0.367,104
A0A382X5I9,A0A6J5ZDS3,0.352,104
A0A382X5I9,A0A094PRH3,0.358,104
A0A382X5I9,A0A381YCQ9,0.362,103
A0A382X5I9,A0A383EVV5,0.372,100
A0A382X5I9,A0A6J6BMV8,0.332,99
A0A382X5I9,A0A2H9TBZ9,0.345,98
A0A382X5I9,A0A381TAP7,0.343,98
A0A382X5I9,A0A382TN05,0.334,98
A0A382X5I9,A0A484RFP6,0.339,97
A0A382X5I9,A0A382BSA6,0.341,96
A0A382X5I9,A0A382AXX9,0.351,95
A0A382X5I9,A0A381Z5C4,0.342,95
A0A382X5I9,A0A382WL77,0.359,94
A0A382X5I9,A0A381NTP3,0.332,93
A0A382X5I9,A0A6J6FLY4,0.315,92
A0A382X5I9,A0A381ZVK2,0.342,91
A0A382X5I9,A0A382YNP5,0.314,89
A0A382X5I9,A0A382BJP1,0.305,87
A0A382X5I9,A0A645G9J6,0.316,86
A0A382X5I9,A0A381SM42,0.31,86
A0A382X5I9,A0A6J6D5R5,0.322,85
A0A382X5I9,A0A382JQW3,0.332,85
A0A382X5I9,A0A644ZDJ2,0.312,85
A0A382X5I9,A0A644WAX3,0.301,83
A0A382X5I9,A0A381QJF2,0.365,82
A0A382X5I9,A0A381YI49,0.369,79
A0A382X5I9,A0A381W471,0.368,67
A0A6A7SCJ1,A0A380TDV5,0.464,141
A0A6A7SCJ1,A0A2P2C106,0.393,113
A0A6A7SCJ1,A0A644X6R6,0.35,100
A0A6A7SCJ1,A0A2P2CCC0,0.337,94
A0A6A7SCJ1,A0A381QVC9,0.354,93
A0A6A7SCJ1,A0A644Y6I5,0.309,88
A0A6A7SCJ1,A0A645J6J5,0.302,69
A0A6J6GDY7,A0A6J6EVF5,0.503,379
A0A6J6GDY7,A0A2P2CDA4,0.395,246
A0A6J6GDY7,A0A2P2CIE9,0.369,243
A0A6J6GDY7,A0A2P2BWJ7,0.395,233
A0A644TQW4,A0A1J5SU47,0.363,254
A0A644TQW4,A0A6A7SEA5,0.329,219
A0A644TQW4,A0A382VYR0,0.355,91
A0A644TQW4,X1ADV7,0.313,89
A0A644TQW4,A0A0F9EBG8,0.323,80
A0A644TQW4,A0A0F9DRK3,0.336,48
A0A5J4RAH0,A0A5J4ST39,0.882,840
A0A5J4RAH0,A0A5J4RGF7,0.881,839
A0A5J4RAH0,A0A5J4RSB5,0.783,724
A0A5J4RAH0,A0A5J4RD69,0.775,715
A0A5J4RAH0,A0A5J4RLZ5,0.765,709
A0A5J4RAH0,A0A5J4R632,0.799,707
A0A5J4RAH0,A0A5J4RMY9,0.765,702
A0A5J4RAH0,A0A5J4S2M0,0.766,701
A0A5J4RAH0,A0A5J4SQP5,0.757,696
A0A5J4RAH0,A0A5J4PYV6,0.895,654
A0A5J4RAH0,A0A644Z1I5,0.642,561
A0A5J4RAH0,A0A644VAA7,0.627,552
A0A5J4RAH0,A0A644YGI6,0.601,534
A0A5J4RAH0,A0A5J4Q1M0,0.891,531
A0A5J4RAH0,A0A5J4R5H0,0.767,520
A0A5J4RAH0,A0A5J4PMB9,0.89,500
A0A5J4RAH0,J9D059,0.561,478
A0A5J4RAH0,A0A644TZ87,0.543,474
A0A5J4RAH0,A0A644TTV5,0.54,462
A0A5J4RAH0,J9G945,0.44,422
A0A5J4RAH0,J9GKY5,0.439,421
A0A5J4RAH0,J9GUP8,0.437,421
A0A5J4RAH0,A0A644WB33,0.47,385
A0A5J4RAH0,D9PEU5,0.451,366
A0A5J4RAH0,A0A5J4PVG7,0.886,349
A0A5J4RAH0,A0A644X3D0,0.433,348
A0A5J4RAH0,A0A644YC72,0.428,340
A0A5J4RAH0,A0A3B0U7R6,0.426,338
A0A5J4RAH0,A0A644V8K5,0.411,309
A0A5J4RAH0,A0A644V8Y5,0.373,256
A0A5J4RAH0,K1U1E7,0.631,251
A0A5J4RAH0,A0A645G851,0.659,235
A0A5J4RAH0,A0A5J4Q1Q4,0.424,185
A0A5J4RAH0,K1RQ62,0.419,170
A0A5J4RAH0,X1SXZ0,0.371,151
A0A5J4RAH0,X1H9X9,0.361,125
A0A5J4RAH0,K1V2N0,0.498,118
A0A5J4RAH0,A0A0F9RZA5,0.301,111
A0A5J4RAH0,D9PIE9,0.334,91
A0A2P2BYA8,A0A381SJ02,0.562,1171
A0A2P2BYA8,A0A380TBJ6,0.555,1144
A0A2P2BYA8,A0A6A7S9U7,0.55,1140
A0A2P2BYA8,A0A381S6T6,0.536,1104
A0A2P2BYA8,A0A644SXT0,0.492,960
A0A2P2BYA8,A0A644TEG1,0.474,937
A0A2P2BYA8,A0A6C0ED38,0.376,671
A0A2P2BYA8,A0A645A5Y7,0.33,149
A0A6P2DJ47,A0A6C2YHZ3,0.6,167
A0A381NTI0,A0A644TRA9,0.414,315
A0A381NTI0,A0A380THX8,0.333,229
A0A381NTI0,A0A645BGB9,0.364,215
A0A382AZ99,A0A381UCT6,0.415,370
A0A382AZ99,A0A381UR02,0.399,347
A0A382AZ99,A0A381XCR9,0.398,346
A0A382AZ99,A0A381PLY7,0.364,306
A0A382AZ99,A0A644TXX6,0.348,289
A0A382AZ99,A0A381QL30,0.326,260
A0A382AZ99,A0A381SX73,0.319,254
A0A382AZ99,A0A381T7V2,0.318,253
A0A382AZ99,A0A381MYX2,0.322,252
A0A382AZ99,A0A381NCE6,0.315,244
A0A382AZ99,A0A381QM57,0.306,231
A0A382YNP5,A0A382BJP1,0.78,333
A0A382YNP5,A0A381YCQ9,0.409,144
A0A382YNP5,A0A644YX24,0.405,142
A0A382YNP5,A0A6J6FLY4,0.398,142
A0A382YNP5,A0A6J6BMV8,0.389,138
A0A382YNP5,A0A645B269,0.395,137
A0A382YNP5,A0A6J6CM05,0.393,136
A0A382YNP5,A0A6J6D5R5,0.376,131
A0A382YNP5,A0A644TR86,0.38,130
A0A382YNP5,A0A381XUL9,0.378,129
A0A382YNP5,A0A381SM42,0.378,129
A0A382YNP5,A0A381RUV8,0.371,128
A0A382YNP5,A0A6J6AEE3,0.373,128
A0A382YNP5,A0A381UKZ5,0.375,128
A0A382YNP5,A0A094PRH3,0.376,128
A0A382YNP5,A0A6J5ZBM4,0.371,127
A0A382YNP5,A0A6J6BED1,0.377,126
A0A382YNP5,A0A644ZDJ2,0.369,126
A0A382YNP5,A0A6J6F1Z8,0.365,124
A0A382YNP5,A0A2H9TBZ9,0.368,124
A0A382YNP5,A0A644WAX3,0.364,124
A0A382YNP5,A0A381ZVK2,0.38,123
A0A382YNP5,A0A381NTP3,0.365,123
A0A382YNP5,A0A2P2C335,0.364,122
A0A382YNP5,A0A381TAP7,0.364,122
A0A382YNP5,A0A382WL77,0.366,121
A0A382YNP5,A0A6J5ZDS3,0.357,121
A0A382YNP5,A0A6J6ASR3,0.355,119
A0A382YNP5,A0A2P2C6S4,0.357,119
A0A382YNP5,A0A381Z5C4,0.353,117
A0A382YNP5,A0A382BSA6,0.351,117
A0A382YNP5,A0A381UMH9,0.347,116
A0A382YNP5,A0A094PXK9,0.345,115
A0A382YNP5,A0A382TN05,0.348,115
A0A382YNP5,A0A380TAR9,0.352,114
A0A382YNP5,A0A381Q0T0,0.343,112
A0A382YNP5,A0A382JQW3,0.34,111
A0A382YNP5,A0A381PM74,0.34,110
A0A382YNP5,A0A645BU40,0.339,110
A0A382YNP5,A0A382BC58,0.334,109
A0A382YNP5,A0A644XIS9,0.331,108
A0A382YNP5,A0A381QJF2,0.373,105
A0A382YNP5,A0A645G9J6,0.319,102
A0A382YNP5,A0A381YI49,0.386,101
A0A382YNP5,A0A381W471,0.394,99
A0A382YNP5,A0A382X5I9,0.313,89
A0A382YNP5,A0A383EVV5,0.32,82
A0A644VRP9,A0A381QJD9,0.657,554
A0A644VRP9,A0A380T9A5,0.57,449
A0A6J6GYH7,A0A2P2BW94,0.362,230
A0A381PLY7,A0A381UCT6,0.431,390
A0A381PLY7,A0A381XCR9,0.384,327
A0A381PLY7,A0A381UR02,0.38,323
A0A381PLY7,A0A382AZ99,0.36,301
A0A381PLY7,A0A644TXX6,0.352,299
A0A381PLY7,A0A381T7V2,0.311,237
A0A381PLY7,A0A381NCE6,0.305,235
A0A381PLY7,A0A381SX73,0.309,235
A0A381PLY7,A0A381QL30,0.303,231
A0A381PLY7,A0A382LBB5,0.304,158
A0A382BC58,A0A381RUV8,0.605,241
A0A382BC58,A0A381UMH9,0.592,233
A0A382BC58,A0A2H9TBZ9,0.379,131
A0A382BC58,A0A381UKZ5,0.364,127
A0A382BC58,A0A382BSA6,0.366,125
A0A382BC58,A0A484RFP6,0.374,124
A0A382BC58,A0A094PXK9,0.357,122
A0A382BC58,A0A381TAP7,0.365,121
A0A382BC58,A0A644XIS9,0.355,120
A0A382BC58,A0A6J5ZBM4,0.357,118
A0A382BC58,A0A644TR86,0.357,117
A0A382BC58,A0A6J6BED1,0.352,116
A0A382BC58,A0A6J6AEE3,0.351,115
A0A382BC58,A0A381SM42,0.345,115
A0A382BC58,A0A094PRH3,0.342,113
A0A382BC58,A0A645BU40,0.339,113
A0A382BC58,A0A382WL77,0.344,112
A0A382BC58,A0A382YNP5,0.339,112
A0A382BC58,A0A6J6ASR3,0.343,111
A0A382BC58,A0A644ZDJ2,0.336,111
A0A382BC58,A0A6J6F1Z8,0.336,111
A0A382BC58,A0A644WAX3,0.334,110
A0A382BC58,A0A381YCQ9,0.408,110
A0A382BC58,A0A644YX24,0.334,109
A0A382BC58,A0A382JQW3,0.413,109
A0A382BC58,A0A381NTP3,0.329,107
A0A382BC58,A0A381Z5C4,0.336,107
A0A382BC58,A0A381ZVK2,0.385,107
A0A382BC58,A0A2P2C335,0.331,106
A0A382BC58,A0A381XUL9,0.358,105
A0A382BC58,A0A645G9J6,0.322,105
A0A382BC58,A0A6J5ZDS3,0.32,104
A0A382BC58,A0A382TN05,0.326,104
A0A382BC58,A0A6J6CM05,0.324,101
A0A382BC58,A0A2P2C6S4,0.309,98
A0A382BC58,A0A382BJP1,0.307,97
A0A382BC58,A0A381YI49,0.38,96
A0A382BC58,A0A381PM74,0.309,95
A0A382BC58,A0A6J6BMV8,0.302,94
A0A382BC58,A0A645B269,0.301,94
A0A382BC58,A0A381Q0T0,0.341,89
A0A382BC58,A0A381QJF2,0.308,76
A0A382BC58,A0A381W471,0.328,71
A0A383EVV5,A0A2H9TBZ9,0.548,163
A0A383EVV5,A0A381YCQ9,0.519,153
A0A383EVV5,A0A381PM74,0.506,151
A0A383EVV5,A0A381Q0T0,0.494,146
A0A383EVV5,A0A381ZVK2,0.523,142
A0A383EVV5,A0A484RFP6,0.445,125
A0A383EVV5,A0A381YI49,0.602,124
A0A383EVV5,A0A6J6F1Z8,0.438,124
A0A383EVV5,A0A382JQW3,0.432,120
A0A383EVV5,A0A382BSA6,0.426,118
A0A383EVV5,A0A381UKZ5,0.421,117
A0A383EVV5,A0A6J6BED1,0.412,113
